,
Undergraduate Institution,"Total Applicants from the 
Institution"
"University of California-Los Angeles, Los Angeles, CA","1,298"
"University of Texas at Austin, Austin, TX","1,033"
"University of Florida, Gainesville, FL","1,006"
"University of California-Berkeley, Berkeley, CA",859
"University of Michigan-Ann Arbor, Ann Arbor, MI",832
"University of California-San Diego, La Jolla, CA",757
"Texas A & M University, College Station, TX",621
"The Ohio State University Main Campus, Columbus, OH",612
"University of Georgia, Athens, GA",584
"University of North Carolina at Chapel Hill, Chapel Hill, NC",570
"Johns Hopkins University, Baltimore, MD",568
"University of California-Davis, Davis, CA",556
"University of Wisconsin-Madison, Madison, WI",550
"University of Washington, Seattle, WA",527
"Rutgers University - New Brunswick, New Brunswick, NJ ",510
"University of South Florida, Tampa, FL",490
"Michigan State University, East Lansing, MI",486
"University of California-Irvine, Irvine, CA",480
"Cornell University, Ithaca, NY",464
"University of Central Florida, Orlando, FL",464
"University of Maryland-College Park, College Park, MD",455
"Arizona State University, Tempe, AZ",444
"The University of Texas at Dallas, Richardson, TX",432
"University of Virginia, Charlottesville, VA",432
"Baylor University, Waco, TX",429
"University of Minnesota, Minneapolis, MN",429
"Emory University, Atlanta, GA",413
"University of Pittsburgh, Pittsburgh, PA",408
"University of Illinois at Urbana-Champaign, Champaign, IL",403
"Brigham Young University, Provo, UT",392
"Washington University in St. Louis, St. Louis, MO",392
"Florida International University, Miami, FL",386
"University of Arizona, Tucson, AZ",386
"University of Southern California, Los Angeles, CA",370
"Florida State University, Tallahassee, FL",366
"New York University, New York, NY",356
"Boston University, Boston, MA",355
"University of Houston, Houston, TX",351
"Penn State University Park, University Park, PA",350
"University of Miami, Coral Gables, FL",344
"Indiana University-Bloomington, Bloomington, IN",343
"Louisiana St University and Agricultural and Mechanical Col, Baton Rouge, LA",343
"University of Notre Dame, Notre Dame, IN",337
"Vanderbilt University, Nashville, TN",320
"Stony Brook University, Stony Brook, NY",316
"University of California-Riverside, Riverside, CA",313
"University of Pennsylvania, Philadelphia, PA",313
"University of Connecticut, Storrs, CT",299
"Duke University, Durham, NC",298
"Brown University, Providence, RI",294
"Loyola University Chicago, Chicago, IL",293
"University of Illinois at Chicago, Chicago, IL",290
"University of Oklahoma Norman Campus, Norman, OK",289
"Harvard University, Cambridge, MA",284
"Clemson University, Clemson, SC",282
"University of South Carolina Columbia, Columbia, SC",274
"Texas Tech University-Lubbock, Lubbock, TX",271
"The University of Alabama, Tuscaloosa, AL",267
"The University of Utah, Salt Lake City, UT",263
"Wayne State University, Detroit, MI",262
"Northwestern University-Evanston, Evanston, IL",261
"University of Kansas Main Campus, Lawrence, KS",253
"University of Kentucky, Lexington, KY",249
"Northeastern University, Boston, MA",241
"University of Tennessee-Knoxville, Knoxville, TN",239
"Virginia Commonwealth University, Richmond, VA",237
"Rice University, Houston, TX",235
"University of Arkansas Main Campus, Fayetteville, AR",231
"University of Colorado at Boulder, Boulder, CO",231
"Case Western Reserve University, Cleveland, OH",228
"Stanford University, Stanford, CA",228
"University of California-Santa Barbara, Santa Barbara, CA",215
"Yale University, New Haven, CT",215
"University of Alabama at Birmingham, Birmingham, AL",213
"Tulane University, New Orleans, LA",212
"Saint Louis University, St. Louis, MO",206
"Florida Atlantic University-Boca Raton, Boca Raton, FL",204
"Georgia State University, Atlanta, GA",204
"State University of New York at Binghamton, Binghamton, NY",203
"Boston College, Chestnut Hill, MA",202
"University of Toronto, Toronto, ON",202
"Temple University, Philadelphia, PA",196
"University of Iowa, Iowa City, IA",195
"Columbia University in the City of New York, New York, NY",193
"University of Massachusetts-Amherst, Amherst, MA",193
"Georgia Institute of Technology, Atlanta, GA",188
"Auburn University, Auburn, AL",187
"Howard University, Washington, DC",186
"Tufts University, Medford, MA",186
"University of Rochester, Rochester, NY",184
"College of William & Mary, Williamsburg, VA",182
"University of New Mexico-Main Campus, Albuquerque, NM",181
"University of Mississippi, University, MS",177
"Virginia Polytechnic Institute and State University, Blacksburg, VA",177
"Purdue University-Main Campus, West Lafayette, IN",176
"City University of New York Hunter College, New York, NY",175
"University of Chicago, Chicago, IL",175
"University of Puerto Rico-Rio Piedras Campus, San Juan, PR",170
"The University of Texas at San Antonio, San Antonio, TX",169
"University of Western Ontario, London, ON",169
"Creighton University, Omaha, NE",168
"University of Cincinnati Main Campus, Cincinnati, OH",168
"University of Nevada-Reno, Reno, NV",168
"University of California-Santa Cruz, Santa Cruz, CA",164
"North Carolina State University, Raleigh, NC",159
"University of Missouri-Columbia, Columbia, MO",158
"Georgetown University, Washington, DC",157
"Dartmouth College, Hanover, NH",154
"McMaster University, Hamilton, ON",152
"Wake Forest University, Winston-Salem, NC",148
"Princeton University, Princeton, NJ",147
"University of Nebraska - Lincoln, Lincoln, NE",144
"George Mason University, Fairfax, VA",143
"George Washington University, Washington, DC",142
"Oregon State University, Corvallis, OR",140
"University of Maryland-Baltimore County, Baltimore, MD",140
"Colorado State University, Fort Collins, CO",139
"University at Albany, SUNY, Albany, NY",136
"University of Oregon, Eugene, OR",136
"Mississippi State University, Mississippi State, MS",134
"University of North Texas, Denton, TX",134
"West Virginia University, Morgantown, WV",134
"The University of Texas at Arlington, Arlington, TX",132
"Miami University, Oxford, OH",126
"The University of Texas Rio Grande Valley, Edinburg, TX",126
"University of Louisville, Louisville, KY",126
"University of Hawaii at Manoa, Honolulu, HI",124
"McGill University, Montreal, QC",121
"Xavier University of Louisiana, New Orleans, LA",121
"University at Buffalo-SUNY, Buffalo, NY",117
"University of Delaware, Newark, DE",114
"City University of New York Brooklyn College, Brooklyn, NY",111
"Southern Methodist University, Dallas, TX",110
"University of Puerto Rico-Mayaguez Campus, Mayaguez, PR",107
"Fordham University, Bronx, NY",104
"San Diego State University, San Diego, CA",104
"East Carolina University, Greenville, NC",102
"Drexel University, Philadelphia, PA",101
"Mercer University, Macon, GA",99
"Portland State University, Portland, OR",99
"Texas Christian University, Fort Worth, TX",99
"Villanova University, Villanova, PA",99
"University of Nevada-Las Vegas, Las Vegas, NV",97
"Syracuse University, Syracuse, NY",96
"University of Texas at El Paso, El Paso, TX",96
"Kansas State University, Manhattan, KS",95
"University of Toledo, Toledo, OH",92
"Brandeis University, Waltham, MA",91
"Oakland University, Rochester, MI",91
"City University of New York The City College, New York, NY",90
"Rhodes College, Memphis, TN",90
"University of North Dakota, Grand Forks, ND",90
"Grand Valley State University, Allendale, MI",88
"Iowa State University, Ames, IA",88
"Massachusetts Institute of Technology, Cambridge, MA",88
"Oklahoma State University, Stillwater, OK",88
"College of Charleston, Charleston, SC",87
"University of British Columbia, Vancouver, BC",87
"Indiana University-Purdue University-Indianapolis, Indianapolis, IN",86
"Montana State University-Bozeman, Bozeman, MT",86
"St. John's University, Queens, NY",86
"Marquette University, Milwaukee, WI",85
"Amherst College, Amherst, MA",82
"University of Colorado Denver | Anschutz Medical Campus, Denver, CO",82
"Nova Southeastern University, Fort Lauderdale, FL",81
"The College Of New Jersey, Ewing, NJ",80
"California State University-Northridge, Northridge, CA",79
"Spelman College, Atlanta, GA",77
"Brigham Young University-Idaho, Rexburg, ID",76
"California Polytechnic State University-San Luis Obispo, San Luis Obispo, CA",76
"Vassar College, Poughkeepsie, NY",76
"University of Michigan-Dearborn, Dearborn, MI",74
"University of Missouri-Kansas City, Kansas City, MO",74
"Rutgers University - Newark, Newark, NJ",73
"Wesleyan University, Middletown, CT",73
"University of Vermont, Burlington, VT",72
"Washington State University, Pullman, WA",72
"Georgia Southern University, Statesboro, GA",71
"Kennesaw State University, Kennesaw, GA",69
"University of Portland, Portland, OR",69
"Wellesley College, Wellesley, MA",69
"Barnard College, New York, NY",68
"State University of New York College at Geneseo, Geneseo, NY",68
"California State University-Fullerton, Fullerton, CA",67
"Northern Arizona University, Flagstaff, AZ",67
"Texas State University-San Marcos, San Marcos, TX",67
"University of California-Merced, Merced, CA",67
"Williams College, Williamstown, MA",67
"Carnegie Mellon University, Pittsburgh, PA",66
"York University, Toronto, ON",66
"University of Dayton, Dayton, OH",65
"Davidson College, Davidson, NC",63
"Loyola Marymount University, Los Angeles, CA",63
"University of North Carolina-Wilmington, Wilmington, NC",63
"California State University-Long Beach, Long Beach, CA",62
"Santa Clara University, Santa Clara, CA",62
"James Madison University, Harrisonburg, VA",61
"Middle Tennessee State University, Murfreesboro, TN",61
"University of New Hampshire, Durham, NH",61
"Austin College, Sherman, TX",60
"Central Michigan University, Mount Pleasant, MI",60
"Colgate University, Hamilton, NY",60
"East Tennessee State University, Johnson City, TN",60
"Furman University, Greenville, SC",60
"Queen's University at Kingston, Kingston, ON",60
"San Francisco State University, San Francisco, CA",60
"University of South Alabama, Mobile, AL",60
"Carleton College, Northfield, MN",59
"Liberty University, Lynchburg, VA",59
"Marshall University, Huntington, WV",59
"California Northstate University, Elk Grove, CA",58
"Hofstra University, Hempstead, NY",58
"Utah State University, Logan, UT",58
"Middlebury College, Middlebury, VT",57
"St. Olaf College, Northfield, MN",57
"Towson University, Baltimore, MD",57
"California State University-Fresno, Fresno, CA",56
"Colorado College, Colorado Springs, CO",55
"DePaul University, Chicago, IL",55
"Florida Agricultural and Mechanical University, Tallahassee, FL",55
"Southern Adventist University, Collegedale, TN",55
"The University of Akron, Main Campus, Akron, OH",55
"University of San Diego, San Diego, CA",55
"University of Washington-Bothell Branch, Bothell, WA",55
"American University, Washington, DC",54
"Old Dominion University, Norfolk, VA",54
"Pomona College, Claremont, CA",54
"Rowan University, Glassboro, NJ",54
"University of Richmond, Richmond, VA",54
"Western Kentucky University, Bowling Green, KY",54
"Augusta State University, Augusta, GA",53
"Florida Gulf Coast University, Fort Myers, FL",53
"Grand Canyon University, Phoenix, AZ",53
"Louisiana Tech University, Ruston, LA",53
"University of Minnesota-Duluth, Duluth, MN",53
"Washington and Lee University, Lexington, VA",53
"Chapman University, Orange, CA",52
"City University of New York Queens College, Flushing, NY",52
"Lipscomb University, Nashville, TN",52
"University of Central Arkansas, Conway, AR",52
"University of North Carolina at Charlotte, Charlotte, NC",52
"United States Military Academy, West Point, NY",51
"University of Denver, Denver, CO",51
"Wright State University-Main Campus, Dayton, OH",51
"College of the Holy Cross, Worcester, MA",50
"Pepperdine University, Malibu, CA",50
"Swarthmore College, Swarthmore, PA",50
"University of Wisconsin-Milwaukee, Milwaukee, WI",50
"Xavier University, Cincinnati, OH",50
